SMILES,PCE
CC1=CC(CCC(CC)CCCCC)=C(C2=CC=C(C3=C(CCC(CCCCC)CC)C=C(C4=CC=C(C5=C(N=C(C6=CC=C(OCCC(CCCCC)CC)C=C6)C(C7=CC=C(OCCC(CC)CCCCC)C=C7)=N8)C8=C(C9=CC=C(C)S9)C=C5)S4)[Se]3)[Se]2)[Se]1,0.72
CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(C5=C(CCCCCC)SC(CCCCCC)=C5C4=O)=O)=C(C)S3)S6)C6=C2OCC(CCCC)CC,0.73
O=C1C2=C(CCCCCC)SC(CCCCCC)=C2C(C3=C(C)SC(C4=CC5=C(C(OCC(CCCC)CC)=C(C=C(C)S6)C6=C5OCC(CCCC)CC)S4)=C31)=O,0.73
CC1=CC=C(C2=CC3=C(C(SC4=C5C(CCCCCCCC)(CCCCCCCC)C6=C4C=CC(C)=C6)=C5C3(CCCCCCCC)CCCCCCCC)C=C2)C7=NSN=C17,0.76
CC1=CC2=C(C(SC(C3=C(CCCCCCCCCCCC)C=C(C4=C5C(C(C(F)(F)C5=O)=O)=C(C6=CC(CCCCCCCCCCCC)=C(C)S6)S4)S3)=C7)=C7[Si]2(CC(CC)CCCC)CC(CC)CCCC)S1,0.77
CC1=CC(C2=C3SC(CCCCCCCCCCCCCCCC)=C2)=C(S1)C4=C3C=C(C5=C6C(C(N(CCCCCCCCCCCC)C6=O)=O)=C(C)S5)S4,0.78
CC(O1)=CC(C1=C(C#CC2=CC=C(CCCCCCCCCC)C=C2)C3=C4OC(C(S5)=CC(C5=C(C#CC6=CC=C(CCCCCCCCCC)C=C6)C7=C8SC(C)=C7)=C8C#CC9=CC=C(CCCCCCCCCC)C=C9)=C3)=C4C#CC%10=CC=C(CCCCCCCCCC)C=C%10,0.79
CC1=CC=C(C2=CC3=C(C4=CC(N(CC(CCCCCCCCCC)CCCCCCCC)C5=C6SC(C)=C5)=C6C=C4N3CC(CCCCCCCCCC)CCCCCCCC)S2)C7=NSN=C71,0.8
CC1=CC(C2=C3SC(CCCCCCCCCCCCCCCC)=C2)=C(S1)C4=C3C=C(C5=C6C(C(N(CCCCCCCCCCCC)C6=O)=O)=C(C)S5)S4,0.8
C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=CC=C(C6=CC=C(C7=C(CCCCCC)C(CCCCCC)=C(C8=CC=C(C9=CC=C(C)S9)S8)S7(=O)=O)S6)S5)=C3)=C4C=C1,0.8
CC1=CC(C(CCCCCCCC)CCCCCC)=C(C2=NC(SC(C3=C(C(CCCCCCCC)CCCCCC)C=C(C)S3)=N4)=C4S2)S1,0.8
CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1,0.8
O=C1N(CCCCCCCC)C(C2=C(C)SC(C(S3)=CC4=C3C(CC[C@@H](CC)CCCC)=C5C(SC(C)=C5)=C4CCC(CC)CCCC)=C21)=O,0.8
CC(S1)=CC(CC(CCCC)CC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CCCC)CC)C=C(S4)C5=CC6=C(C(SC(C)=C7)=C7N6CC(CCCCCCCC)CCCCCC)S5,0.82
CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=CC=C(C4=C(CCCCCCCCCCCC)C=C(C)S4)S3)S2)S1,0.83
CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=C(N=C(C)C(C)=N6)C6=C(C7=CC=C(C)S7)S5)S4)=CC=C38)=C8C=C2N9C(CCCCCCCCCC)CCCCCCCCCC)C9=C1,0.84
CC1=CC=C(C2=CC3=C(C(SC(C4=CC=C(C)C5=NSN=C54)=C6)=C6N3C(CCCCCCCC)CCCCCCCC)C=C2)S1,0.85
CC1=CC=C(C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C3=CC=C(C4=CC=C(N(C5=CC=C(C)C=C5)C6=CC=C(OCCCCCCCC)C=C6)C=C4)S3)C7=NON=C27)S1,0.86
CC1=C(SCCCCCCCC)C=C(C2=CC(SCCCCCCCC)=C(C3=C4C(C=C(C(OCCCCCCCC)=O)S4)=C(C)S3)S2)S1,0.87
CC(S1)=CC(CC(CCCC)CC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CCCC)CC)C=C(C5=CC(N(C(CC(CC)CCCC)CC(CCCC)CC)C6=C7C=CC(C)=C6)=C7C=C5)S4,0.87
O=C1N(CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC=C6C(C(CCCCCCCC)(CCCCCCCC)C7=C6C=CC(C)=C7)=C5)S4)N(CCCCCCCC)C3=O,0.88
